seed,window,rate,drift_hit,drift_nohit,delta_drift,ratio_guarded,guard_triggered,frac_hit
123,21,0.0005,0.0,0.7581,-0.7581,0.0,False,0.2727
123,22,0.0005,,0.8467,,,False,0.0
123,23,0.0005,,0.541,,,False,0.0
123,24,0.0005,,0.3562,,,False,0.0
123,25,0.0005,,0.3523,,,False,0.0
314,2,0.0005,,0.2617,,,False,0.0
314,3,0.0005,,0.1896,,,False,0.1111
314,4,0.0005,,0.2115,,,False,0.0
314,5,0.0005,,0.3228,,,False,0.0
314,6,0.0005,,0.3898,,,False,0.0
314,7,0.0005,,0.4369,,,False,0.0625
314,8,0.0005,,0.4369,,,False,0.0
314,9,0.0005,,0.4067,,,False,0.0
314,10,0.0005,,0.2709,,,False,0.05
314,11,0.0005,,0.6173,,,False,0.0
314,12,0.0005,,0.4853,,,False,0.0
314,13,0.0005,,0.3532,,,False,0.05
314,14,0.0005,,0.2381,,,False,0.0
314,15,0.0005,,0.6087,,,False,0.0
314,16,0.0005,,0.7524,,,False,0.0
314,17,0.0005,,0.2389,,,False,0.0
314,18,0.0005,,0.5008,,,False,0.0
314,19,0.0005,,0.3383,,,False,0.0
314,20,0.0005,,0.4303,,,False,0.0
314,21,0.0005,,0.5392,,,False,0.0
314,22,0.0005,,0.0,,,True,0.0
314,23,0.0005,,0.4548,,,False,0.0
314,24,0.0005,,0.5406,,,False,0.0
314,25,0.0005,,0.3726,,,False,0.1111
456,2,0.0005,,0.1584,,,False,0.0
456,3,0.0005,,0.2612,,,False,0.0
456,4,0.0005,,0.1875,,,False,0.0
456,5,0.0005,,0.4208,,,False,0.0769
456,6,0.0005,,0.2903,,,False,0.0
456,7,0.0005,,0.3868,,,False,0.0625
456,8,0.0005,,0.4986,,,False,0.0
456,9,0.0005,,0.3429,,,False,0.25
456,10,0.0005,0.4369,0.3566,0.0803,1.225,False,0.125
456,11,0.0005,,0.5631,,,False,0.0
456,12,0.0005,,0.4275,,,False,0.0455
456,13,0.0005,,0.2438,,,False,0.0
456,14,0.0005,,0.3481,,,False,0.0
456,15,0.0005,,0.0,,,True,0.0
456,16,0.0005,,0.3714,,,False,0.0
456,17,0.0005,,0.072,,,False,0.0
456,18,0.0005,,0.4688,,,False,0.0435
456,19,0.0005,,0.2931,,,False,0.0
456,20,0.0005,,0.4408,,,False,0.0
456,21,0.0005,,0.5654,,,False,0.0
456,22,0.0005,,0.781,,,False,0.0
456,23,0.0005,,0.385,,,False,0.0
456,24,0.0005,,0.385,,,False,0.0
456,25,0.0005,,0.3439,,,False,0.0
789,2,0.0005,,0.2019,,,False,0.0
789,3,0.0005,,0.1476,,,False,0.0588
789,4,0.0005,,0.3971,,,False,0.0
789,5,0.0005,,0.5816,,,False,0.0
789,6,0.0005,,0.3939,,,False,0.0
789,7,0.0005,,0.3792,,,False,0.0
789,8,0.0005,,0.4596,,,False,0.0
789,9,0.0005,,0.3127,,,False,0.0
789,10,0.0005,,0.1357,,,False,0.0
789,11,0.0005,,0.3289,,,False,0.0
789,12,0.0005,,0.459,,,False,0.0
789,13,0.0005,,0.0696,,,False,0.0
