seed,window,rate,k,tc,H,drift,J,tH,tD,tP,k_star
55,5,0.0,2,3,0.8031,0.3947,0.1978,0.8031,0.3947,-1.0,3
55,5,0.0,3,3,0.8031,0.5537,0.3568,0.8031,0.5537,-1.0,3
55,5,0.0,4,3,0.8031,0.5537,0.3568,0.8031,0.5537,-1.0,3
55,6,0.0,0,1,-0.0,0.0,-0.5,-0.0,0,-0.5,3
55,6,0.0,1,3,0.9219,0.2278,0.1497,0.9219,0.2278,-1.0,3
55,6,0.0,2,4,1.571,0.3086,0.7186,1.571,0.3086,-1.161,3
55,6,0.0,3,5,2.1219,0.4874,1.3168,2.1219,0.4874,-1.2925,3
55,6,0.0,4,5,2.1219,0.4874,1.3168,2.1219,0.4874,-1.2925,3
55,7,0.0,0,1,-0.0,0.0,-0.5,-0.0,0,-0.5,3
55,7,0.0,1,1,-0.0,0.3287,-0.1713,-0.0,0.3287,-0.5,3
55,7,0.0,2,1,-0.0,0.4863,-0.0137,-0.0,0.4863,-0.5,3
55,7,0.0,3,2,0.65,0.5071,0.3646,0.65,0.5071,-0.7925,3
55,7,0.0,4,2,0.65,0.5071,0.3646,0.65,0.5071,-0.7925,3
55,8,0.0,0,1,-0.0,0.0,-0.5,-0.0,0,-0.5,3
55,8,0.0,1,2,0.3534,0.1848,-0.2543,0.3534,0.1848,-0.7925,3
55,8,0.0,2,3,0.6998,0.2648,-0.0354,0.6998,0.2648,-1.0,3
55,8,0.0,3,3,0.6998,0.3876,0.0874,0.6998,0.3876,-1.0,3
55,8,0.0,4,3,0.6998,0.3876,0.0874,0.6998,0.3876,-1.0,3
55,9,0.0,0,1,-0.0,0.0,-0.5,-0.0,0,-0.5,3
55,9,0.0,1,2,0.2975,0.2443,-0.2507,0.2975,0.2443,-0.7925,3
55,9,0.0,2,3,0.5907,0.2458,-0.1635,0.5907,0.2458,-1.0,3
55,9,0.0,3,4,0.8795,0.2944,0.0129,0.8795,0.2944,-1.161,3
55,9,0.0,4,4,0.8795,0.2944,0.0129,0.8795,0.2944,-1.161,3
55,10,0.0,0,1,-0.0,0.0,-0.5,-0.0,0,-0.5,3
55,10,0.0,1,2,0.8113,0.3995,0.4183,0.8113,0.3995,-0.7925,3
55,10,0.0,2,3,1.5,0.4926,0.9926,1.5,0.4926,-1.0,3
55,10,0.0,3,4,1.9591,0.5535,1.3516,1.9591,0.5535,-1.161,3
55,10,0.0,4,4,1.9591,0.5535,1.3516,1.9591,0.5535,-1.161,3
55,11,0.0,0,1,-0.0,0.0,-0.5,-0.0,0,-0.5,3
55,11,0.0,1,3,1.5219,0.491,1.0129,1.5219,0.491,-1.0,3
55,11,0.0,2,3,1.5219,0.6816,1.2035,1.5219,0.6816,-1.0,3
55,11,0.0,3,4,1.9219,0.7443,1.5052,1.9219,0.7443,-1.161,3
55,11,0.0,4,4,1.9219,0.7443,1.5052,1.9219,0.7443,-1.161,3
55,12,0.0,0,1,-0.0,0.0,-0.5,-0.0,0,-0.5,3
55,12,0.0,1,3,1.1221,0.3122,0.4343,1.1221,0.3122,-1.0,3
