seed,window,rate,k_star,J,tc,H
7,19,0.001,4,1.2991,4,1.7605
7,20,0.001,2,0.7003,3,1.4355
7,21,0.001,2,0.4282,2,0.65
7,22,0.001,1,0.1335,2,0.5436
7,23,0.001,4,1.0553,5,1.7947
7,24,0.001,4,0.692,4,1.6258
7,25,0.001,3,0.5419,2,0.7219
42,1,0.001,0,-0.5,1,-0.0
42,2,0.001,4,0.1973,5,1.1983
42,3,0.001,4,0.0889,5,1.1905
42,4,0.001,4,0.7788,6,1.9092
42,5,0.001,4,0.0885,4,0.9142
42,6,0.001,4,0.5802,6,1.6636
42,7,0.001,4,0.562,6,1.8716
42,8,0.001,4,0.6597,3,1.2516
42,9,0.001,4,0.6108,5,1.5621
42,10,0.001,4,0.0717,4,0.8743
42,11,0.001,3,1.3477,5,2.1243
42,12,0.001,4,1.2095,6,2.3161
42,13,0.001,3,0.5002,4,1.1761
42,14,0.001,4,0.9663,5,1.9069
42,15,0.001,3,0.0342,1,-0.0
42,16,0.001,2,1.5439,4,1.9726
42,17,0.001,3,0.9191,5,1.6628
42,18,0.001,3,0.1731,4,1.1183
42,19,0.001,3,-0.0538,4,0.8476
42,20,0.001,3,0.0003,2,0.5436
42,21,0.001,3,0.18,4,0.952
42,22,0.001,4,1.338,6,2.2516
42,23,0.001,4,0.7866,4,1.3568
42,24,0.001,4,-0.0887,1,-0.0
42,25,0.001,2,1.015,4,1.6577
55,1,0.001,0,-0.5,1,-0.0
55,2,0.001,4,-0.1791,5,0.9544
55,3,0.001,3,0.5741,5,1.658
55,4,0.001,3,0.012,2,0.4138
55,5,0.001,3,0.3934,3,0.9913
55,6,0.001,2,-0.1326,2,0.4395
55,7,0.001,3,0.6489,4,1.3568
55,8,0.001,3,0.2993,2,0.7496
55,9,0.001,3,-0.1588,1,-0.0
55,10,0.001,0,-0.5,1,-0.0
55,11,0.001,3,0.5152,5,1.4076
55,12,0.001,3,-0.0595,2,0.3912
55,13,0.001,3,1.1026,5,1.9069
55,14,0.001,3,0.6175,4,1.571
55,15,0.001,3,0.4434,4,1.1863
55,16,0.001,3,0.8522,4,1.75
55,17,0.001,4,1.3464,6,2.3204
55,18,0.001,4,0.4869,4,1.154
55,19,0.001,4,0.6066,4,1.4838
55,20,0.001,3,0.4089,4,1.1918
55,21,0.001,2,0.4195,3,1.1568
55,22,0.001,4,0.8836,5,1.6341
55,23,0.001,4,0.6474,3,1.0613
55,24,0.001,3,0.3157,2,0.65
55,25,0.001,3,-0.0023,2,0.7425
123,1,0.001,3,-0.0835,4,1.0775
123,2,0.001,3,0.6698,4,1.4667
123,3,0.001,4,0.7698,4,1.5284
123,4,0.001,3,1.0811,5,2.0182
123,5,0.001,3,0.1168,3,0.6686
123,6,0.001,3,0.6859,4,1.5422
123,7,0.001,3,0.4748,3,1.0224
123,8,0.001,2,-0.1408,1,-0.0
123,9,0.001,2,0.4883,3,1.1033
123,10,0.001,4,0.4126,3,0.9913
123,11,0.001,3,0.4623,3,0.9864
123,12,0.001,3,0.4783,2,0.9403
123,13,0.001,3,0.0082,2,0.3228
123,14,0.001,4,0.7914,5,1.6879
123,15,0.001,4,0.4865,2,0.7219
123,16,0.001,4,-0.1713,1,-0.0
123,17,0.001,3,0.6299,2,0.9544
123,18,0.001,3,-0.0422,2,0.469
123,19,0.001,3,0.614,3,1.1568
123,20,0.001,3,0.6888,2,0.9183
123,21,0.001,3,-0.0631,1,-0.0
123,22,0.001,3,0.1581,5,1.1219
123,23,0.001,4,0.7989,4,1.571
123,24,0.001,4,1.3765,5,2.086
123,25,0.001,3,0.0847,2,0.3534
314,1,0.001,3,0.3063,5,1.5988
314,2,0.001,4,0.0908,5,1.0498
314,3,0.001,3,0.1122,5,1.1609
314,4,0.001,4,-0.173,3,0.5907
314,5,0.001,4,1.431,5,2.1493
314,6,0.001,4,1.0441,3,1.371
314,7,0.001,3,0.2813,2,0.5436
314,8,0.001,3,1.2821,4,1.9219
314,9,0.001,3,0.6962,2,0.994
314,10,0.001,4,0.3886,2,0.6098
314,11,0.001,4,0.2147,3,0.8167
314,12,0.001,3,0.2839,3,0.9464
314,13,0.001,3,1.0217,3,1.4355
314,14,0.001,2,0.0183,1,-0.0
314,15,0.001,4,0.7358,5,1.5789
314,16,0.001,4,-0.0411,2,0.3712
