N,seed,plb,rate,quiet_steps,n_windows,policy,hyst_threshold,dominant_k,dominant_k_fraction,switch_count,switches_per_100,time_stable,first_half_dom,second_half_dom,k_dist,mean_margin,pct_close_002,mean_islands_strong,mean_islands_mid,mean_none_ratio,mean_n_C,elapsed
200,2024,0.008,0.005,5000,25,hyst_0.01,0.01,4,0.92,2,2.0,True,4,4,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 1, ""4"": 23}",0.2474,8.0,1.0,1.84,0.8511,20.5,26.6
200,314,0.008,0.005,5000,25,hyst_0.01,0.01,4,0.92,2,2.0,True,4,4,"{""0"": 1, ""1"": 1, ""2"": 0, ""3"": 0, ""4"": 23}",0.2633,12.0,1.16,1.92,0.8493,20.6,27.1
200,42,0.008,0.005,5000,25,hyst_0.01,0.01,4,0.92,2,2.0,True,4,4,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 1, ""4"": 23}",0.2081,12.0,1.04,2.2,0.8283,21.9,26.8
200,456,0.008,0.005,5000,25,hyst_0.01,0.01,4,0.92,2,2.0,True,4,4,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 1, ""4"": 23}",0.2327,8.0,0.92,1.72,0.8405,17.7,26.9
200,55,0.008,0.005,5000,25,hyst_0.01,0.01,4,0.96,1,1.0,True,4,4,"{""0"": 0, ""1"": 0, ""2"": 0, ""3"": 1, ""4"": 24}",0.3191,0.0,1.44,2.08,0.834,23.5,26.7
200,7,0.008,0.005,5000,25,hyst_0.01,0.01,4,0.92,4,4.0,True,4,4,"{""0"": 0, ""1"": 1, ""2"": 0, ""3"": 1, ""4"": 23}",0.2722,12.0,1.0,1.84,0.8633,18.0,26.6
200,789,0.008,0.005,5000,25,hyst_0.01,0.01,4,0.96,2,2.0,True,4,4,"{""0"": 0, ""1"": 1, ""2"": 0, ""3"": 0, ""4"": 24}",0.2834,0.0,0.8,1.6,0.8503,23.4,26.7
200,999,0.008,0.005,5000,25,hyst_0.01,0.01,4,0.92,2,2.0,True,4,4,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 1, ""4"": 23}",0.3172,0.0,1.16,2.12,0.8599,23.2,26.9
200,123,0.01,0.0005,5000,25,hyst_0.01,0.01,4,0.6,1,1.0,False,3,4,"{""0"": 0, ""1"": 0, ""2"": 0, ""3"": 10, ""4"": 15}",0.0489,80.0,2.12,4.28,0.7902,22.4,29.0
200,1337,0.01,0.0005,5000,25,hyst_0.01,0.01,4,0.76,2,2.0,True,4,4,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 5, ""4"": 19}",0.0268,72.0,1.72,3.96,0.7509,20.1,28.6
200,2024,0.01,0.0005,5000,25,hyst_0.01,0.01,4,0.88,1,1.0,True,4,4,"{""0"": 0, ""1"": 0, ""2"": 0, ""3"": 3, ""4"": 22}",0.0829,68.0,1.8,3.68,0.7516,21.1,28.9
200,314,0.01,0.0005,5000,25,hyst_0.01,0.01,4,0.8,4,4.0,True,4,4,"{""0"": 0, ""1"": 2, ""2"": 0, ""3"": 3, ""4"": 20}",0.0402,68.0,1.4,3.28,0.798,22.4,28.9
200,42,0.01,0.0005,5000,25,hyst_0.01,0.01,4,0.96,1,1.0,True,4,4,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 24}",0.0369,76.0,1.6,3.44,0.7926,22.5,29.4
200,456,0.01,0.0005,5000,25,hyst_0.01,0.01,4,0.8,5,5.0,True,4,4,"{""0"": 1, ""1"": 1, ""2"": 0, ""3"": 3, ""4"": 20}",0.0794,56.0,1.68,3.76,0.8014,22.4,28.6
200,55,0.01,0.0005,5000,25,hyst_0.01,0.01,4,0.96,1,1.0,True,4,4,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 24}",0.0276,76.0,1.8,3.48,0.804,21.0,29.0
200,7,0.01,0.0005,5000,25,hyst_0.01,0.01,4,0.92,2,2.0,True,4,4,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 1, ""4"": 23}",0.0764,72.0,2.16,3.76,0.7769,21.3,29.0
200,789,0.01,0.0005,5000,25,hyst_0.01,0.01,4,0.88,2,2.0,True,4,4,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 2, ""4"": 22}",0.0169,88.0,1.72,3.6,0.788,22.7,29.0
200,999,0.01,0.0005,5000,25,hyst_0.01,0.01,4,0.84,3,3.0,True,4,4,"{""0"": 0, ""1"": 1, ""2"": 0, ""3"": 3, ""4"": 21}",0.0184,84.0,2.32,4.08,0.7599,17.8,29.1
