seed,window,lid,n_core,s_avg,r_core,rho,links_total,log10_pbirth,B,b_gen_old
1,7,34,2,0.007911,0.996199,0.000244,3044,-12.8136,12.8136,0.015762
1,7,36,2,0.223757,0.945689,0.000244,3044,-11.3847,11.3847,0.423209
1,7,38,2,0.013922,0.986726,0.000244,3044,-12.5723,12.5723,0.027475
1,7,41,2,0.109344,0.967517,0.000244,3044,-11.6857,11.6857,0.211584
1,7,42,2,0.06928,0.998639,0.000244,3044,-11.8702,11.8702,0.138371
1,7,43,2,0.015777,0.960242,0.000244,3044,-12.5298,12.5298,0.0303
1,7,44,2,0.097024,0.942025,0.000244,3044,-11.7493,11.7493,0.182797
1,7,45,2,0.148596,0.967634,0.000244,3044,-11.5525,11.5525,0.287573
1,8,48,2,0.019436,0.979236,0.00024,3000,-12.437,12.437,0.038065
1,8,47,2,0.027985,0.999546,0.00024,3000,-12.2698,12.2698,0.055944
1,10,54,2,0.021333,0.999916,0.000233,2917,-12.3997,12.3997,0.042662
1,10,55,2,0.162648,0.999756,0.000233,2917,-11.5176,11.5176,0.325216
1,10,57,2,0.273434,0.938528,0.000233,2917,-11.3194,11.3194,0.51325
1,10,58,2,0.046505,0.982371,0.000233,2917,-12.0689,12.0689,0.09137
1,10,59,2,0.085555,0.951307,0.000233,2917,-11.8181,11.8181,0.162778
1,10,60,2,0.044128,0.991973,0.000233,2917,-12.0875,12.0875,0.087547
1,10,61,2,0.119408,0.997935,0.000233,2917,-11.6526,11.6526,0.238323
1,11,67,2,0.863288,0.999718,0.000237,2960,-10.7863,10.7863,1.726089
1,11,69,2,0.030534,0.786804,0.000237,2960,-12.3417,12.3417,0.048048
1,11,62,2,0.019648,0.999931,0.000237,2960,-12.4291,12.4291,0.039292
1,11,63,2,0.056651,0.999921,0.000237,2960,-11.9692,11.9692,0.113293
1,12,73,2,0.036632,0.873799,0.000235,2936,-12.2206,12.2206,0.064017
1,12,70,2,0.02108,0.999574,0.000235,2936,-12.4022,12.4022,0.042143
1,12,71,2,0.026834,0.999961,0.000235,2936,-12.2972,12.2972,0.053667
1,13,74,3,0.445779,0.96042,0.000241,3018,-18.2895,18.2895,1.284407
1,13,75,3,0.468088,0.838779,0.000241,3018,-18.3648,18.3648,1.177867
1,13,77,2,0.616015,0.90643,0.000241,3018,-10.967,10.967,1.116749
