window,label_id,age,n_core,visible_total,n_seen,near_phase_ratio,theta_variance,share,type_tag,world_jaccard,partner_jaccard
28,3,24,5,222,6,0.2207,0.9369,0.008621,social|wide,0.9867,0.8333
28,5,24,4,149,3,0.5101,0.9488,0.043103,social|familiar,0.9868,0.5
28,16,23,5,255,5,0.2235,0.9497,0.060345,social|wide,0.9808,0.7143
28,33,20,4,146,1,0.2945,0.9799,0.025862,neutral,0.9932,1.0
28,48,18,2,23,0,0.3913,0.6976,0.025862,isolated|local,0.3382,0.0
28,57,17,4,147,7,0.2721,0.9619,0.051724,social,1.0,0.625
28,76,13,4,151,2,0.2053,0.9701,0.025862,neutral,1.0,1.0
28,83,12,3,66,1,0.2121,0.7614,0.043103,neutral,1.0,1.0
28,87,11,5,274,7,0.281,0.9065,0.051724,social|wide,0.9892,0.875
28,112,8,5,283,3,0.2827,0.9827,0.060345,social|wide,0.9965,1.0
28,114,7,5,250,7,0.284,0.9025,0.068966,social|wide,0.996,0.75
28,118,6,3,65,1,0.0923,0.7398,0.034483,alien,1.0,1.0
28,121,6,2,25,0,0.2,0.8673,0.025862,isolated|local,1.0,1.0
28,126,5,5,280,3,0.2429,0.9548,0.051724,social|wide,1.0,0.5
28,137,3,4,142,3,0.2113,0.9162,0.025862,social,1.0,0.6667
28,152,1,2,23,0,0.0435,0.8008,0.051724,isolated|alien|local,0.92,1.0
28,153,0,5,266,4,0.2406,0.9582,0.034483,social|wide,1.0,0.8
28,154,0,5,231,4,0.2338,0.9139,0.051724,social|wide,0.9957,1.0
28,155,0,3,63,0,0.4444,0.828,0.017241,isolated,1.0,1.0
28,156,0,5,235,3,0.3106,0.8627,0.068966,social|wide,0.9916,0.6667
28,157,0,2,26,0,0.6538,0.9436,0.025862,isolated|familiar|local,1.0,1.0
28,159,0,2,24,1,0.375,0.6768,0.017241,local,1.0,1.0
28,161,0,2,24,1,0.1667,0.8693,0.017241,alien|local,1.0,1.0
28,165,-1,5,266,6,0.2744,0.9447,0.103448,social|wide,,
29,3,25,5,219,5,0.2831,0.918,0.043478,social|wide,0.9865,0.8333
29,5,25,4,148,3,0.3919,0.8524,0.043478,social,0.9933,0.5
29,16,24,5,254,5,0.2874,0.9364,0.018634,social|wide,0.9961,0.6667
29,33,21,4,146,3,0.274,0.8916,0.024845,social,1.0,0.3333
29,48,19,2,23,0,0.5217,0.8478,0.012422,isolated|familiar|local,1.0,1.0
29,57,18,4,137,6,0.2336,0.8613,0.031056,social,0.932,0.4444
29,76,14,4,148,3,0.2095,0.9951,0.043478,social,0.9801,0.6667
29,83,13,3,66,2,0.2727,0.9047,0.031056,neutral,1.0,0.5
29,87,12,5,271,7,0.2694,0.9714,0.068323,social|wide,0.9891,0.75
29,112,9,5,278,2,0.2878,0.9707,0.024845,wide,0.9823,0.25
29,114,8,5,247,7,0.2591,0.948,0.049689,social|wide,0.988,0.75
29,118,7,3,65,1,0.2923,0.9519,0.012422,neutral,1.0,1.0
29,126,6,5,280,3,0.2286,0.9302,0.024845,social|wide,1.0,1.0
29,137,4,4,140,3,0.25,0.9555,0.043478,social,0.9859,1.0
29,152,2,2,23,0,0.2174,0.8608,0.012422,isolated|local,1.0,1.0
29,153,1,5,266,4,0.2782,0.9606,0.043478,social|wide,1.0,0.6
29,154,1,5,231,4,0.2208,0.9762,0.068323,social|wide,1.0,0.6
29,156,1,5,235,4,0.2596,0.9557,0.031056,social|wide,1.0,0.75
29,157,1,2,26,0,0.6154,0.8479,0.018634,isolated|familiar|local,1.0,1.0
29,165,0,5,261,5,0.2184,0.9535,0.031056,social|wide,0.9812,0.5714
29,166,-1,2,22,2,0.5,0.8252,0.018634,local,,
29,167,-1,2,26,0,0.5,0.7588,0.024845,isolated|local,,
29,168,-1,2,22,1,0.3636,0.7915,0.031056,local,,
29,170,-1,2,23,0,0.5217,0.7498,0.024845,isolated|familiar|local,,
29,172,-1,2,21,0,0.7143,0.8991,0.024845,isolated|familiar|local,,
29,174,-1,2,24,2,0.125,0.754,0.037267,alien|local,,
29,175,-1,2,24,1,0.5417,0.8698,0.024845,familiar|local,,
29,176,-1,2,23,0,0.3043,0.8191,0.037267,isolated|local,,
29,177,-1,2,23,0,0.5217,0.8794,0.024845,isolated|familiar|local,,
29,180,-1,2,23,0,0.2174,0.7459,0.024845,isolated|local,,
29,181,-1,2,26,0,0.2308,0.7681,0.018634,isolated|local,,
29,182,-1,2,21,1,0.2857,0.8428,0.012422,local,,
