window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate
28,5000,3010,1,5,3,1.9403,1,36.3,7,2998,4.36,0.973,3093.6,12,1.0,9,3,3,134,0.03165,0.25,285.7143
29,4998,3189,1,5,3,1.8753,1,36.9,3187,0,4.57,1.0301,3103.4,10,1.0,8,1,2,144,0.033246,0.2692,212.766
30,4998,3162,1,5,3,1.8674,2,36.8,3152,0,4.54,1.017,3109.0,10,1.0,5,1,4,152,0.032834,0.2364,222.2222
31,4998,3167,1,5,3,1.8288,2,37.0,3153,0,4.54,1.0168,3114.5,14,1.0,6,5,4,169,0.026766,0.2245,255.814
32,4996,3084,0,0,3,1.8002,2,36.4,4,3080,4.46,0.9911,3111.6,4,1.0,8,2,0,137,0.034208,0.1724,75.4717
33,4995,3111,2,5,3,1.9742,1,37.5,8,3093,4.56,0.9998,3111.6,18,1.0,10,6,4,205,0.024045,0.1494,227.8481
34,4993,3128,2,5,3,1.9788,1,37.7,3109,0,4.48,1.0048,3113.1,19,1.0,12,2,0,245,0.020733,0.1413,213.4831
35,4990,3024,1,3,3,1.9936,2,38.0,6,3005,4.43,0.974,3104.6,19,1.0,13,5,4,288,0.015837,0.117,211.7647
36,4986,3010,2,5,1,1.9587,2,38.1,13,2993,4.42,0.9723,3095.6,17,1.0,14,4,3,295,0.015424,0.102,193.1818
37,4978,3175,1,5,1,1.8661,2,38.0,3166,0,4.53,1.0234,3103.3,10,1.0,12,2,4,299,0.017867,0.1182,79.2079
38,4976,3035,1,3,0,1.8619,2,37.7,9,3026,4.39,0.98,3096.8,9,1.0,13,4,3,291,0.015636,0.1358,114.2857
39,4971,2952,0,0,0,1.9133,2,38.3,5,2947,4.36,0.9575,3083.0,5,1.0,11,0,2,250,0.021495,0.1385,81.9672
40,4964,3042,1,4,1,1.906,1,38.3,0,3038,4.4,0.988,3079.1,4,1.0,13,2,0,250,0.020512,0.1486,56.338
41,4961,3024,2,5,3,1.9671,1,38.5,0,3019,4.44,0.9838,3073.8,5,1.0,12,2,3,291,0.016844,0.1333,59.5238
42,4953,2950,1,5,3,1.9797,2,38.5,0,2941,4.4,0.9634,3062.0,9,1.0,10,1,3,274,0.019656,0.119,113.9241
43,4947,3091,0,0,3,1.957,2,38.3,3083,0,4.53,1.0085,3064.8,8,1.0,8,3,5,254,0.021198,0.1477,106.6667
44,4942,3109,0,0,3,1.9671,1,38.0,3106,0,4.47,1.013,3069.0,3,1.0,6,0,2,181,0.03026,0.2037,62.5
45,4939,3004,0,0,3,1.9167,1,38.6,0,3004,4.39,0.9808,3062.8,0,1.0,5,0,1,132,0.047611,0.3,0.0
46,4932,3094,1,4,3,1.8122,1,38.6,3085,0,4.58,1.0092,3065.8,9,1.0,9,6,2,166,0.028548,0.193,169.8113
47,4930,2970,0,0,3,1.8732,1,38.4,3,2962,4.39,0.9716,3056.7,8,1.0,11,3,1,186,0.023774,0.1667,186.0465
