window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,bg_prob_effective
106,4669,2928,0,0,3,1.9602,2,11.3,2921,0,4.46,1.0093,2901.0,7,1.0,52,2,1,1026,0.001335,0.0338,22.7273,105,46.3,0.0201,0.0081,0,0,0,0,0.076923,0.015625,38,0.7969,6.0801,0.3959,0.003529
107,4667,2880,0,0,3,1.9875,1,11.3,5,2875,4.44,0.9934,2899.0,5,1.0,49,0,3,1009,0.001386,0.0495,16.0256,106,49.9,0.0219,0.0094,0,1,0,0,0.092879,0.015625,38,0.8318,6.1297,0.3961,0.003616
108,4666,2871,2,5,3,1.9952,1,11.4,5,2856,4.4,0.9912,2896.3,15,1.0,51,2,0,1018,0.001566,0.0418,53.3808,107,48.9,0.0207,0.0092,2,0,0,0,0.059233,0.015625,37,0.7362,6.1854,0.3961,0.003693
109,4666,2890,0,0,3,1.9785,1,11.3,0,2885,4.41,0.998,2895.7,5,1.0,50,0,1,1018,0.001416,0.0483,17.4216,108,50.9,0.0225,0.0094,0,1,0,0,0.07931,0.015625,37,0.803,6.2509,0.3965,0.00376
110,4665,2796,1,3,3,1.9887,1,11.3,0,2787,4.38,0.9687,2886.2,9,1.0,51,3,2,1021,0.00126,0.0476,29.703,109,50.8,0.0213,0.0088,0,1,0,0,0.095238,0.015625,38,0.8359,6.3049,0.3971,0.003814
111,4665,2919,0,0,3,1.9957,1,11.3,2911,0,4.52,1.0106,2889.5,9,1.0,51,4,4,1008,0.001223,0.0513,30.5085,110,51.6,0.0204,0.0089,0,1,0,0,0.080128,0.015625,39,0.805,6.3658,0.3974,0.003856
112,4665,2826,0,0,3,1.9852,1,11.3,4,2822,4.45,0.9801,2883.4,4,1.0,50,0,1,981,0.001174,0.0364,11.236,111,53.7,0.0207,0.0069,0,0,0,0,0.090909,0.015625,38,0.8281,6.4422,0.3981,0.003884
113,4665,2816,0,0,3,1.9785,1,11.3,4,2812,4.36,0.9788,2877.0,4,1.0,50,0,0,980,0.001066,0.0486,10.5634,112,54.7,0.0213,0.0092,0,0,0,0,0.09375,0.015625,37,0.8333,6.5185,0.3988,0.003898
114,4665,2779,1,5,3,1.8732,1,11.3,4,2770,4.45,0.9691,2867.7,9,1.0,49,1,2,978,0.001095,0.0442,25.974,113,54.3,0.022,0.0093,1,2,0,0,0.088328,0.015625,37,0.8231,6.5879,0.3997,0.003898
115,4664,2849,0,0,3,1.8924,1,11.3,0,2844,4.39,0.9941,2865.9,5,1.0,48,0,1,958,0.001122,0.0375,17.4216,114,56.3,0.023,0.0084,0,0,0,0,0.085324,0.015625,36,0.8169,6.6699,0.4007,0.003884
