seed,window,rate,k_star,J_star,type_count,H,drift
314,17,0.0005,3,0.8431,4,1.7652,0.2389
314,18,0.0005,3,0.2353,3,0.7345,0.5008
314,19,0.0005,3,0.3224,4,1.1451,0.3383
314,20,0.0005,3,0.9267,4,1.6574,0.4303
314,21,0.0005,2,0.0392,1,-0.0,0.5392
314,22,0.0005,0,-0.5,1,-0.0,0.0
314,23,0.0005,2,0.7419,3,1.2871,0.4548
314,24,0.0005,3,0.5035,2,0.7554,0.5406
314,25,0.0005,4,1.0909,5,1.9455,0.4379
456,1,0.0005,3,-0.2589,5,1.0336,
456,2,0.0005,0,-0.5,1,-0.0,0.0
456,3,0.0005,3,0.416,5,1.4473,0.2612
456,4,0.0005,3,0.7761,5,1.8811,0.1875
456,5,0.0005,4,0.4392,4,1.1451,0.4551
456,6,0.0005,4,0.6694,5,1.6166,0.3453
456,7,0.0005,4,1.0492,5,1.9212,0.4205
456,8,0.0005,4,0.8629,4,1.5016,0.5223
456,9,0.0005,4,0.7411,4,1.4183,0.4838
456,10,0.0005,4,0.4483,3,1.0613,0.387
456,11,0.0005,4,1.1191,4,1.682,0.5981
456,12,0.0005,4,0.1473,3,0.6999,0.4474
456,13,0.0005,4,0.2205,4,1.0975,0.284
456,14,0.0005,2,-0.1519,1,-0.0,0.3481
456,15,0.0005,0,-0.5,1,-0.0,0.0
456,16,0.0005,2,0.4327,3,1.0613,0.3714
456,17,0.0005,2,0.1129,3,1.0409,0.072
456,18,0.0005,4,1.142,5,1.946,0.4885
456,19,0.0005,4,1.1441,5,2.1115,0.3251
456,20,0.0005,3,0.7702,3,1.3294,0.4408
456,21,0.0005,3,1.5621,5,2.2892,0.5654
456,22,0.0005,3,0.281,1,-0.0,0.781
456,23,0.0005,3,0.4606,4,1.2366,0.385
456,24,0.0005,3,-0.115,1,-0.0,0.385
456,25,0.0005,3,0.2363,4,1.0534,0.3439
789,1,0.0005,2,-0.4585,4,0.7025,
789,2,0.0005,3,-0.0791,5,1.0115,0.2019
789,3,0.0005,4,0.0461,5,1.1128,0.2258
789,4,0.0005,4,0.714,3,1.2867,0.4273
789,5,0.0005,3,0.0816,1,-0.0,0.5816
789,6,0.0005,3,0.4468,3,1.0529,0.3939
789,7,0.0005,3,0.3086,2,0.7219,0.3792
789,8,0.0005,2,0.446,3,0.9864,0.4596
789,9,0.0005,3,0.4284,5,1.4082,0.3127
789,10,0.0005,3,0.6155,5,1.7723,0.1357
789,11,0.0005,3,0.6145,4,1.4466,0.3289
789,12,0.0005,3,-0.036,2,0.2975,0.459
789,13,0.0005,3,-0.2692,2,0.4537,0.0696
789,14,0.0005,3,-0.0334,3,0.6402,0.3264
789,15,0.0005,3,1.242,5,2.0742,0.4603
789,16,0.0005,3,0.7869,5,1.9254,0.154
789,17,0.0005,3,0.8466,4,1.6258,0.3818
789,18,0.0005,3,0.7605,4,1.4838,0.4377
789,19,0.0005,4,0.5709,5,1.5059,0.3575
789,20,0.0005,4,0.3923,4,1.2075,0.3458
789,21,0.0005,3,0.6111,4,1.6184,0.1537
789,22,0.0005,3,0.0399,2,0.4138,0.4186
789,23,0.0005,3,0.6908,5,1.6137,0.3696
789,24,0.0005,3,-0.0769,2,0.3373,0.3783
789,25,0.0005,3,1.3472,4,1.9183,0.5899
999,1,0.0005,3,-0.4454,4,0.7156,
999,2,0.0005,3,0.6527,5,1.6145,0.3307
999,3,0.0005,3,0.1635,3,0.8842,0.2793
999,4,0.0005,3,0.6393,4,1.3716,0.4287
999,5,0.0005,4,0.6275,5,1.6806,0.2394
999,6,0.0005,4,0.3735,4,1.352,0.1825
999,7,0.0005,3,-0.0473,2,0.4395,0.3057
999,8,0.0005,3,0.6099,3,1.1568,0.4531
999,9,0.0005,3,1.3865,5,2.1451,0.5339
999,10,0.0005,3,0.73,4,1.4911,0.3999
999,11,0.0005,3,0.0803,2,0.5436,0.3292
999,12,0.0005,2,1.2075,2,1.0,1.0
999,13,0.0005,2,1.06,3,1.1982,0.8618
999,14,0.0005,3,0.436,2,0.7219,0.5066
999,15,0.0005,3,0.9735,3,1.361,0.6125
999,16,0.0005,2,0.8342,3,1.585,0.2492
999,17,0.0005,3,0.7837,5,1.6267,0.4495
999,18,0.0005,3,0.0221,2,0.4138,0.4008
999,19,0.0005,3,-0.2927,1,-0.0,0.2073
999,20,0.0005,3,1.39,4,1.9219,0.6291
999,21,0.0005,3,1.1065,4,1.8424,0.4251
999,22,0.0005,3,0.8013,4,1.5488,0.4135
999,23,0.0005,4,1.2332,4,1.8424,0.5518
999,24,0.0005,2,0.1782,2,0.4395,0.5312
999,25,0.0005,3,0.3141,2,0.7219,0.3847
1337,1,0.0005,3,-0.4689,5,0.8236,
1337,2,0.0005,3,0.9983,4,1.7623,0.397
1337,3,0.0005,3,0.3046,4,0.9882,0.4774
1337,4,0.0005,3,0.4849,4,1.3568,0.2891
1337,5,0.0005,4,0.6365,5,1.5158,0.4132
1337,6,0.0005,4,0.6968,4,1.4372,0.4206
1337,7,0.0005,4,0.2745,3,0.7732,0.5013
1337,8,0.0005,4,-0.2144,1,-0.0,0.2856
1337,9,0.0005,3,0.9383,5,1.736,0.4948
1337,10,0.0005,3,0.2789,4,1.2332,0.2067
1337,11,0.0005,3,0.9411,3,1.5,0.4411
1337,12,0.0005,4,1.3494,6,2.3551,0.398
1337,13,0.0005,3,0.1875,1,-0.0,0.6875
1337,14,0.0005,3,0.8447,4,1.5275,0.4782
1337,15,0.0005,3,0.7752,4,1.5738,0.3624
1337,16,0.0005,3,0.2942,2,0.5436,0.5431
1337,17,0.0005,4,1.2906,5,2.0419,0.5412
1337,18,0.0005,4,0.3846,4,1.1401,0.4055
1337,19,0.0005,3,0.597,2,0.9968,0.3927
1337,20,0.0005,3,0.9319,4,1.5546,0.5383
1337,21,0.0005,3,1.1038,4,1.7968,0.468
1337,22,0.0005,3,1.0518,4,1.7759,0.4369
1337,23,0.0005,3,0.9572,4,1.6645,0.4537
1337,24,0.0005,3,0.6683,4,1.6258,0.2035
1337,25,0.0005,3,1.1918,4,1.7885,0.5643
2024,1,0.0005,3,0.0169,5,1.3094,
2024,2,0.0005,3,-0.0227,4,0.9728,0.1655
2024,3,0.0005,3,-0.0199,4,1.0984,0.0427
2024,4,0.0005,4,0.6355,5,1.5589,0.3691
2024,5,0.0005,4,0.0784,2,0.4855,0.3854
2024,6,0.0005,3,1.0298,5,1.88,0.4423
2024,7,0.0005,4,1.0708,4,1.761,0.4708
2024,8,0.0005,4,0.3855,4,1.0219,0.5246
2024,9,0.0005,3,0.0317,2,0.4395,0.3847
2024,10,0.0005,3,-0.2832,1,-0.0,0.2168
2024,11,0.0005,3,-0.2764,2,0.3373,0.1788
2024,12,0.0005,3,0.7169,4,1.5003,0.3776
2024,13,0.0005,3,0.6541,3,1.1488,0.5053
2024,14,0.0005,3,1.0762,3,1.5219,0.5543
2024,15,0.0005,3,0.2364,2,0.5665,0.4624
2024,16,0.0005,3,0.2749,4,1.1451,0.2908
2024,17,0.0005,4,0.3446,3,0.9913,0.3533
2024,18,0.0005,3,0.8532,2,0.9544,0.6913
2024,19,0.0005,3,0.3147,2,1.0,0.1072
2024,20,0.0005,3,0.4774,3,0.8684,0.609
2024,21,0.0005,3,0.9812,5,1.8811,0.3926
2024,22,0.0005,3,0.9816,4,1.8464,0.2962
2024,23,0.0005,4,0.7451,6,1.8183,0.3305
2024,24,0.0005,4,0.2544,4,1.1451,0.2703
2024,25,0.0005,3,1.2096,4,1.9056,0.465
7,1,0.001,0,-0.5,1,-0.0,
7,2,0.001,3,0.0915,5,1.164,0.22
7,3,0.001,4,0.0888,5,1.1064,0.2749
7,4,0.001,4,-0.1188,2,0.4395,0.2342
7,5,0.001,4,0.2163,5,1.2086,0.3002
