seed,rate,window,k,eta,type_count,H_k,drift_k,J_k,flags
55,0.0,8,4,0.4869,3,0.6998,0.2648,-0.0354,low_eta
55,0.0,9,0,0.4869,1,-0.0,0.0,-0.5,low_eta
55,0.0,9,1,0.4869,2,0.2975,0.2443,-0.2507,low_eta
55,0.0,9,2,0.4869,3,0.5907,0.2458,-0.1635,low_eta
55,0.0,9,3,0.4869,3,0.5907,0.2458,-0.1635,low_eta
55,0.0,9,4,0.4869,3,0.5907,0.2458,-0.1635,low_eta
55,0.0,10,0,0.4869,1,-0.0,0.0,-0.5,low_eta
55,0.0,10,1,0.4869,2,0.8113,0.3995,0.4183,low_eta
55,0.0,10,2,0.4869,3,1.5,0.4926,0.9926,low_eta
55,0.0,10,3,0.4869,3,1.5,0.4926,0.9926,low_eta
55,0.0,10,4,0.4869,3,1.5,0.4926,0.9926,low_eta
55,0.0,11,0,0.4869,1,-0.0,0.0,-0.5,low_eta
55,0.0,11,1,0.4869,3,1.5219,0.491,1.0129,low_eta
55,0.0,11,2,0.4869,3,1.5219,0.6816,1.2035,low_eta
55,0.0,11,3,0.4869,3,1.5219,0.6816,1.2035,low_eta
55,0.0,11,4,0.4869,3,1.5219,0.6816,1.2035,low_eta
55,0.0,12,0,0.4869,1,-0.0,0.0,-0.5,low_eta
55,0.0,12,1,0.4869,3,1.1221,0.3122,0.4343,low_eta
55,0.0,12,2,0.4869,4,1.7652,0.5764,1.1806,low_eta
55,0.0,12,3,0.4869,4,1.7652,0.5764,1.1806,low_eta
55,0.0,12,4,0.4869,4,1.7652,0.5764,1.1806,low_eta
55,0.0,13,0,0.4869,1,-0.0,0.0,-0.5,low_eta
55,0.0,13,1,0.4869,3,0.7732,0.1342,-0.0926,low_eta
55,0.0,13,2,0.4869,4,1.352,0.1738,0.3648,low_eta
55,0.0,13,3,0.4869,4,1.352,0.1738,0.3648,low_eta
55,0.0,13,4,0.4869,4,1.352,0.1738,0.3648,low_eta
55,0.0,14,0,0.4869,1,-0.0,0.0,-0.5,low_eta
55,0.0,14,1,0.4869,1,-0.0,0.2856,-0.2144,low_eta
55,0.0,14,2,0.4869,1,-0.0,0.4173,-0.0827,low_eta
55,0.0,14,3,0.4869,1,-0.0,0.4173,-0.0827,low_eta
55,0.0,14,4,0.4869,1,-0.0,0.4173,-0.0827,low_eta
55,0.0,15,0,0.4869,1,-0.0,0.0,-0.5,low_eta
55,0.0,15,1,0.4869,2,0.8813,0.4113,0.5001,low_eta
55,0.0,15,2,0.4869,3,1.4855,0.5579,1.0434,low_eta
55,0.0,15,3,0.4869,3,1.4855,0.5579,1.0434,low_eta
55,0.0,15,4,0.4869,3,1.4855,0.5579,1.0434,low_eta
55,0.0,16,0,0.4869,1,-0.0,0.0,-0.5,low_eta
55,0.0,16,1,0.4869,2,0.7496,0.5088,0.4659,low_eta
55,0.0,16,2,0.4869,3,1.2871,0.5168,0.8039,low_eta
55,0.0,16,3,0.4869,3,1.2871,0.5168,0.8039,low_eta
55,0.0,16,4,0.4869,3,1.2871,0.5168,0.8039,low_eta
55,0.0,17,0,0.4869,1,-0.0,0.0,-0.5,low_eta
55,0.0,17,1,0.4869,3,1.0529,0.1697,0.2226,low_eta
55,0.0,17,2,0.4869,4,1.5003,0.1719,0.5112,low_eta
55,0.0,17,3,0.4869,4,1.5003,0.1719,0.5112,low_eta
55,0.0,17,4,0.4869,4,1.5003,0.1719,0.5112,low_eta
55,0.0,18,0,0.4869,1,-0.0,0.0,-0.5,low_eta
