seed,window,rate,frac_hit_C,drift4_hit,drift4_nohit,ratio
42,13,0.001,0.0417,0.0,0.4075,
42,14,0.001,0.0,,0.1585,
42,15,0.001,0.0,,0.4369,
42,16,0.001,0.0,,0.7323,
42,17,0.001,0.0,,0.4974,
42,18,0.001,0.0,,0.1779,
42,19,0.001,0.0,,0.221,
42,20,0.001,0.0,,0.1926,
42,21,0.001,0.0,,0.3483,
42,22,0.001,0.0833,,0.2363,
42,23,0.001,0.2,0.5579,0.3127,1.784
42,24,0.001,0.0,,0.2559,
42,25,0.001,0.0,,0.5183,
55,2,0.001,0.0,,0.1223,
55,3,0.001,0.0,,0.1917,
55,4,0.001,0.0,,0.385,
55,5,0.001,0.0,,0.3553,
55,6,0.001,0.0,,0.2204,
55,7,0.001,0.0,,0.3847,
55,8,0.001,0.0,,0.3287,
55,9,0.001,0.0,,0.0,
55,10,0.001,0.0,,0.0,
55,11,0.001,0.0714,,0.2454,
55,12,0.001,0.0,,0.1397,
55,13,0.001,0.0,,0.3855,
55,14,0.001,0.0,,0.2005,
55,15,0.001,0.0,,0.4107,
55,16,0.001,0.0,,0.0925,
55,17,0.001,0.0952,,0.3331,
55,18,0.001,0.05,0.0,0.5025,
55,19,0.001,0.0,,0.2383,
55,20,0.001,0.05,,0.2632,
55,21,0.001,0.0,,0.2108,
55,22,0.001,0.1053,,0.3416,
55,23,0.001,0.0,,0.4028,
55,24,0.001,0.0,,0.3714,
55,25,0.001,0.0,,0.0,
123,2,0.001,0.0135,,0.3603,
123,3,0.001,0.0,,0.3764,
123,4,0.001,0.0,,0.3443,
123,5,0.001,0.0,,0.3996,
123,6,0.001,0.0,,0.2604,
123,7,0.001,0.0,,0.4264,
123,8,0.001,0.0,,0.3592,
123,9,0.001,0.0667,,0.3412,
123,10,0.001,0.0,,0.3853,
123,11,0.001,0.0,,0.4172,
123,12,0.001,0.0,,0.2407,
123,13,0.001,0.0,,0.1734,
123,14,0.001,0.0667,,0.2844,
123,15,0.001,0.2,1.0,0.4001,2.499
123,16,0.001,0.0,,0.0,
123,17,0.001,0.0,,0.0,
123,18,0.001,0.0,,0.0,
123,19,0.001,0.0,,0.4113,
123,20,0.001,0.0,,0.4113,
123,21,0.001,0.0,,0.0,
123,22,0.001,0.05,,0.234,
123,23,0.001,0.2,0.5579,0.2852,1.956
123,24,0.001,0.0,,0.4047,
123,25,0.001,0.0,,0.4782,
314,2,0.001,0.0513,0.5579,0.3148,1.772
314,3,0.001,0.0312,0.5579,0.2256,2.473
314,4,0.001,0.0,,0.1528,
314,5,0.001,0.1333,,0.2336,
314,6,0.001,0.0,,0.4881,
314,7,0.001,0.0,,0.4863,
314,8,0.001,0.0,,0.4863,
314,9,0.001,0.0,,0.4863,
314,10,0.001,0.15,,0.0,
314,11,0.001,0.0,,0.298,
314,12,0.001,0.0,,0.2094,
314,13,0.001,0.0,,0.5405,
314,14,0.001,0.0,,0.5183,
314,15,0.001,0.15,,0.1734,
314,16,0.001,0.0714,0.4369,0.1734,2.52
314,17,0.001,0.0,,0.0,
314,18,0.001,0.1765,,0.4001,
314,19,0.001,0.1,0.5579,0.1886,2.958
314,20,0.001,0.0,,0.6656,
314,21,0.001,0.1429,,0.7232,
314,22,0.001,0.0,,0.0,
314,23,0.001,0.0,,0.5902,
314,24,0.001,0.0,,0.3857,
314,25,0.001,0.0,,0.5069,
456,2,0.001,0.0,,0.0897,
456,3,0.001,0.0,,0.2427,
456,4,0.001,0.0,,0.0698,
456,5,0.001,0.0769,,0.286,
456,6,0.001,0.0,,0.2351,
456,7,0.001,0.0769,,0.2735,
456,8,0.001,0.0909,0.0,0.3837,
456,9,0.001,0.0556,0.0,0.0961,
456,10,0.001,0.0,,0.2479,
456,11,0.001,0.0769,,0.0,
456,12,0.001,0.0,,0.1915,
456,13,0.001,0.0,,0.3897,
456,14,0.001,0.0,,0.6478,
456,15,0.001,0.0,,0.8944,
456,16,0.001,0.0,,0.537,
456,17,0.001,0.3333,,0.6776,
456,18,0.001,0.0,,0.1915,
456,19,0.001,0.0,,0.3671,
456,20,0.001,0.0,,0.468,
