window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,bg_prob_effective
85,4939,3085,0,0,0,1.9852,1,12.7,3085,0,4.51,1.0092,3057.0,0,1.0,43,0,1,874,0.001481,0.047,0.0,84,48.3,0.0266,0.0102,0,0,0,0,0.106838,0.015625,28,0.8538,5.2112,0.4527,0.003
86,4939,2888,1,4,1,1.9839,1,12.7,6,2882,4.38,0.9497,3040.9,6,1.0,45,3,1,903,0.00165,0.0473,18.6567,85,47.1,0.0239,0.0093,0,0,0,0,0.072727,0.015625,29,0.7852,5.2803,0.4539,0.003
87,4938,3081,0,0,1,1.9543,1,12.7,3077,0,4.49,1.0119,3044.7,4,1.0,46,4,3,910,0.001394,0.0444,16.4609,86,47.0,0.0246,0.0098,0,0,0,0,0.076613,0.015625,30,0.7961,5.3367,0.4554,0.003
88,4936,3044,1,5,0,1.9621,1,12.7,4,3033,4.43,0.9998,3044.6,11,1.0,46,3,3,941,0.001505,0.0444,31.8021,87,47.8,0.0232,0.009,1,0,0,0,0.081911,0.015625,32,0.8092,5.4084,0.4564,0.003
89,4936,3106,0,0,3,1.8858,1,12.8,3097,0,4.56,1.0182,3050.5,9,1.0,49,5,2,937,0.001444,0.0504,36.5854,88,45.8,0.0233,0.0101,0,0,0,0,0.089147,0.015625,32,0.8247,5.4898,0.4577,0.003
90,4934,3050,1,5,3,1.9491,1,12.7,6,3034,4.48,0.9999,3050.4,16,1.0,51,4,2,973,0.001558,0.0383,58.6081,89,45.0,0.022,0.0085,1,0,0,0,0.069686,0.015625,35,0.7758,5.5421,0.4579,0.003
91,4933,3033,5,5,3,1.9591,1,12.7,15,3003,4.51,0.9948,3048.8,30,1.0,61,14,4,1068,0.001581,0.0341,91.5033,90,37.2,0.0196,0.0078,2,0,0,0,0.086687,0.015625,36,0.8198,5.6164,0.4584,0.003
92,4930,3081,0,0,3,1.9784,2,12.6,3068,0,4.48,1.0096,3051.8,13,1.0,56,3,8,1059,0.001639,0.0452,44.8276,91,41.3,0.0199,0.0093,0,1,0,0,0.1,0.015625,37,0.8438,5.6744,0.4587,0.003
93,4930,3133,0,0,3,1.9427,1,12.7,3134,0,4.49,1.0243,3059.7,0,1.0,53,0,3,988,0.001306,0.0386,0.0,92,44.5,0.0212,0.0076,0,1,0,0,0.070175,0.015625,34,0.7773,5.7236,0.4595,0.003
94,4929,2997,1,5,3,1.9344,1,12.7,2,2990,4.42,0.9814,3053.7,7,1.0,47,3,9,978,0.001466,0.0494,23.8095,93,48.5,0.0232,0.0112,1,1,0,0,0.079848,0.015625,33,0.8043,5.8034,0.4607,0.003
95,4927,3108,2,4,3,1.9506,1,12.7,3095,0,4.46,1.0161,3058.9,13,1.0,45,2,4,947,0.001505,0.0385,46.9314,94,49.3,0.0238,0.008,0,0,0,0,0.06993,0.015625,31,0.7766,5.8698,0.4621,0.003
96,4927,3082,2,3,1,1.8647,2,12.7,3070,0,4.52,1.0068,3061.1,12,1.0,46,2,1,947,0.001821,0.0595,45.977,95,48.3,0.0217,0.0117,0,0,0,0,0.089219,0.015625,30,0.8249,5.9591,0.4631,0.003
97,4926,3070,1,5,1,1.8374,2,12.6,3054,0,4.47,1.0026,3061.9,16,1.0,49,4,1,980,0.001599,0.0521,57.554,96,46.3,0.0221,0.0085,1,0,0,0,0.079861,0.015625,33,0.8043,6.0389,0.4639,0.003
