seed,from,to,familiarity
0,424,264,46.0478
0,424,412,15.0013
0,424,426,17.3685
0,424,427,13.6071
0,424,0,3.7824
0,424,59,0.8636
0,424,353,53.6069
0,424,367,44.3964
0,424,418,4.4217
0,424,26,0.605
0,424,368,16.29
0,424,383,9.0581
0,424,375,22.9681
0,424,15,2.059
0,424,297,16.9092
0,424,325,3.1679
0,424,379,27.4956
0,424,188,24.5783
0,424,420,8.5265
0,424,354,8.7164
0,425,354,19.1258
0,425,411,2.5933
0,425,58,42.1455
0,425,128,4.3973
0,425,197,33.6272
0,425,367,20.0646
0,425,2,6.04
0,425,336,29.8712
0,425,297,18.8017
0,425,61,40.3817
0,425,353,6.6949
0,425,424,8.4457
0,425,188,2.3695
0,425,423,9.0165
0,425,434,20.05
0,425,429,9.0165
0,425,258,22.5326
0,425,352,10.3696
0,425,372,43.3334
0,425,407,12.6338
0,425,276,14.4557
0,425,26,39.3834
0,425,325,3.0372
0,425,368,10.8136
0,425,0,18.4843
0,425,431,4.2309
0,425,427,8.7199
0,425,412,0.7274
0,425,59,38.3374
0,425,432,6.7794
0,426,427,23.8684
0,426,420,5.1894
0,431,432,119.9653
0,431,424,17.2632
