atom,category,finding_direction,observed_rank1_sim_mean,observed_n_strong_seeds,observed_n_weak_seeds,uniform_baseline_mean,uniform_baseline_std,shuffled_baseline_mean,shuffled_baseline_std,delta_uniform,delta_shuffled,z_score_uniform,z_score_shuffled,direction_consistency_24,true_finding_uniform,true_finding_shuffled,true_finding_both
ABS.bound,ABS,below_baseline,0.5189016461372375,24,0,0.6327535808086395,0.017551651928582886,0.550740834325552,0.028615817441275514,-0.11385193467140198,-0.03183918818831444,-6.486679153316274,-1.1126429728472311,True,True,False,False
CHG.decay,CHG,below_baseline,0.26822398230433464,0,24,0.45776235436399776,0.029234204141962514,0.4791417022546132,0.02906094493250677,-0.18953837205966312,-0.21091771995027858,-6.48344559473064,-7.257772258958855,True,True,True,True
ABS.other,ABS,below_baseline,0.29599712044000626,0,11,0.5215354139606158,0.03482540160246016,0.46523555864890415,0.03196722078738849,-0.2255382935206095,-0.1692384382088979,-6.47625822367191,-5.294124232271852,True,True,True,True
SPC.direction,SPC,below_baseline,0.5958288237452507,24,0,0.7102198352416357,0.017698915054055013,0.5822797939181328,0.03332578293316229,-0.11439101149638498,0.01354902982711792,-6.463165179730989,0.40656298621075637,True,True,False,False
SPC.outside,SPC,below_baseline,0.38060854375362396,0,0,0.5444843793908755,0.02550421634324842,0.4892413417498271,0.02667043303919071,-0.1638758356372515,-0.10863279799620312,-6.425440932265044,-4.0731546366934985,True,True,True,True
LOG.reason,LOG,below_baseline,0.5030942000448704,14,0,0.6344948261976242,0.02060635514901243,0.5455428883433342,0.04264186083522575,-0.13140062615275383,-0.04244868829846382,-6.376703944125279,-0.9954698849211019,True,True,False,False
COM.secret,COM,below_baseline,0.4547124666472276,0,0,0.5786700944105784,0.019826228768242204,0.5604209651549658,0.024416768442703407,-0.12395762776335079,-0.10570849850773817,-6.252204048099506,-4.329340254661243,True,True,True,True
VAL.sacred,VAL,below_baseline,0.2391511797904968,0,24,0.49475203081965446,0.04165127413743189,0.45179583008090657,0.03044422294189205,-0.25560085102915764,-0.21264465029040977,-6.136687444081089,-6.984729112524175,True,True,True,True
ELM.night,ELM,below_baseline,0.49362260351578396,2,0,0.6320204983154932,0.022744043224959137,0.5916497111320496,0.04598805927153034,-0.13839789479970926,-0.0980271076162656,-6.085017225425974,-2.131577395720869,True,True,True,True
CHG.advance,CHG,below_baseline,0.6118655701478323,24,0,0.7014950886368752,0.014754445436979428,0.6222236181298891,0.03201366772513206,-0.08962951848904288,-0.010358047982056862,-6.074746683762321,-0.32355080558062277,True,True,False,False
