window,alive_nodes,alive_links,n_clusters,n_encapsulated,n_candidates,max_size,max_density_ratio,max_seen_count,mean_inner_entropy,max_inner_entropy,total_inner_triangles,motif_recurrence_count,encap_events_total,dissolve_events_total,hardened_links_count,k_star,entropy,entropy_delta,milestone,physics_seconds
46,4982,3160,2,0,2,5,0.9,2,0,0,0,0,0,0,0,3,1.9367,-0.0044,2,54.3
47,4982,3023,1,0,1,4,0.6667,1,0,0,0,0,0,0,0,1,1.9255,-0.0112,2,54.3
48,4982,3023,1,0,1,3,0.0,1,0,0,0,0,0,0,0,3,1.9083,-0.0172,2,54.6
49,4979,3068,1,0,1,5,0.96,1,0,0,0,0,0,0,0,1,1.9845,0.0762,2,54.6
50,4979,3068,1,0,1,4,1.2,1,0,0,0,0,0,0,0,1,1.9533,-0.0312,2,53.3
51,4978,3016,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.9512,-0.0021,2,45.2
52,4978,3106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.967,0.0157,1,46.7
53,4977,3118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8631,-0.1039,1,46.2
54,4975,3001,1,0,1,3,0.2,1,0,0,0,0,0,0,0,0,1.8618,-0.0012,1,47.5
55,4970,3181,2,0,2,5,0.6667,1,0,0,0,0,0,0,0,3,1.8879,0.0261,1,47.9
56,4969,3079,1,0,1,4,0.6,2,0,0,0,0,0,0,0,3,1.685,-0.2029,2,48.1
57,4968,3087,1,0,1,5,1.0,2,0,0,0,0,0,0,0,3,1.7427,0.0578,2,47.7
58,4967,3004,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.8338,0.0911,2,49.3
59,4966,3072,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.7697,-0.0641,1,47.4
60,4966,3060,3,0,3,5,1.2,1,0,0,0,0,0,0,0,1,1.8338,0.0641,1,48.1
61,4964,3084,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9561,0.1223,1,48.3
62,4964,3116,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.899,-0.057,1,48.4
63,4963,3025,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9211,0.022,1,48.3
64,4963,3105,1,0,1,5,0.48,2,0,0,0,0,0,0,0,1,1.9589,0.0378,1,47.6
65,4961,3075,1,0,1,5,0.0,1,0,0,0,0,0,0,0,1,1.9329,-0.0259,1,48.2
66,4961,2999,1,0,1,5,1.3333,1,0,0,0,0,0,0,0,1,1.9345,0.0015,2,48.1
67,4961,3059,1,0,1,3,0.1667,1,0,0,0,0,0,0,0,3,1.8876,-0.0468,2,47.9
68,4959,3008,2,0,2,5,0.9,1,0,0,0,0,0,0,0,3,1.853,-0.0347,2,48.2
69,4958,2991,1,0,1,5,0.8571,1,0,0,0,0,0,0,0,3,1.893,0.0401,2,48.3
70,4958,3102,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.9012,0.0081,2,49.1
71,4957,2998,1,0,1,3,0.6667,1,0,0,0,0,0,0,0,1,1.8554,-0.0458,1,46.3
72,4956,3075,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.8464,-0.0089,1,47.6
73,4955,3099,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.8355,-0.0109,1,48.2
74,4952,3074,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.8594,0.0238,1,48.1
75,4951,3035,2,0,2,5,0.8,1,0,0,0,0,0,0,0,3,1.9603,0.101,1,48.7
76,4951,3068,1,0,1,5,0.6857,1,0,0,0,0,0,0,0,3,1.97,0.0096,1,48.1
77,4950,3037,1,0,1,3,0.3333,1,0,0,0,0,0,0,0,3,1.9938,0.0238,2,48.7
