window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,lw_n_oasis,lw_n_penalty,lw_n_neutral,lw_edge_oo,lw_edge_op,lw_edge_pp,thaw_mean_jaccard,thaw_mean_pressure,thaw_mean_add,thaw_mean_drop
64,4915,3140,0,0,3,1.6788,1,16.3,4,3131,4.59,0.9946,3157.1,9,1.0,62,3,0,1064,0.001364,0.0409,27.439,63,36.8,0.0187,0.0082,0,0,0,0,0.073099,0.015625,41,0.7863,3.0383,0.3987,23,5,34,818,1200,525,0.0009,0.9991,2708.2,1.7
65,4911,3041,2,5,1,1.8237,1,16.3,0,3031,4.57,0.9666,3146.0,10,1.0,59,2,5,1082,0.001412,0.042,31.6456,64,38.5,0.0213,0.0098,1,0,0,0,0.066066,0.015625,40,0.7635,3.0864,0.3991,23,3,33,764,1203,499,0.001,0.999,2840.6,1.7
66,4910,3170,0,0,3,1.8738,1,16.3,3181,0,4.59,1.0115,3149.8,5,1.0,59,0,0,1078,0.001225,0.0399,13.9276,65,39.5,0.0189,0.008,0,0,0,0,0.058511,0.015625,40,0.733,3.1129,0.3989,23,3,33,813,1279,497,0.0008,0.9992,2882.0,1.9
67,4908,3110,0,0,3,1.8046,1,18.5,7,3098,4.6,0.9885,3146.0,12,1.0,62,7,4,1109,0.001246,0.0315,30.2115,66,38.5,0.018,0.0073,0,0,0,0,0.063037,0.015625,42,0.7521,3.1674,0.3992,23,4,35,770,1249,508,0.0008,0.9992,2977.7,1.6
68,4908,3074,2,5,1,1.8764,1,16.2,4,3055,4.53,0.9792,3139.2,19,1.0,61,3,4,1107,0.001401,0.0364,56.6038,67,37.0,0.0192,0.0081,2,1,0,0,0.078788,0.015625,40,0.8017,3.2007,0.3995,21,4,36,798,1207,501,0.001,0.999,2941.5,1.5
69,4907,3103,0,0,1,1.9152,1,16.3,4,3089,4.54,0.9896,3135.7,14,1.0,60,1,2,1108,0.001294,0.0401,41.4013,68,38.6,0.0179,0.0076,0,0,0,0,0.055556,0.015625,40,0.7188,3.2439,0.3996,21,4,35,781,1235,509,0.0009,0.9991,2828.6,1.7
70,4905,3023,1,5,3,1.942,1,16.2,3,3005,4.48,0.9674,3125.0,18,1.0,58,1,3,1064,0.001463,0.0436,57.6923,69,39.1,0.0201,0.0094,1,0,0,0,0.071651,0.015625,38,0.7819,3.2938,0.3995,20,3,35,739,1188,504,0.0009,0.9991,3034.2,1.5
71,4905,3114,0,0,3,1.976,1,16.3,4,3107,4.58,0.9968,3124.0,7,1.0,61,4,1,1084,0.001352,0.0385,21.0843,70,38.1,0.0186,0.0078,0,0,0,0,0.073964,0.015625,40,0.7887,3.3263,0.3992,22,3,36,801,1240,487,0.0008,0.9992,2656.4,1.9
72,4904,3008,1,5,3,1.9628,1,16.1,4,2999,4.45,0.9663,3112.9,9,1.0,62,1,0,1100,0.001359,0.0464,26.9461,71,38.5,0.018,0.0079,1,0,0,0,0.052174,0.015625,40,0.7005,3.3698,0.399,22,3,37,780,1210,486,0.0008,0.9992,2559.0,2.1
73,4903,3160,3,4,3,1.9569,1,16.2,3185,0,4.62,1.0241,3120.8,11,1.0,65,7,4,1153,0.001166,0.0314,27.7008,72,37.2,0.0178,0.0072,0,1,0,0,0.060209,0.015625,41,0.7405,3.4117,0.3992,20,5,40,791,1266,484,0.0008,0.9992,2900.6,1.7
